fecha,hora,parada,linea,identificadorCoche,esAdaptado,tiempo_min,distancia_km
2025-09-13,23:32:47,7881,120,369(C),False,13,3.5931441834876594
2025-09-13,23:32:47,5742,128 R,3891,False,8,2.334264927803781
2025-09-13,23:33:56,7881,120,369(C),False,13,3.5931441834876594
2025-09-13,23:33:56,5742,128 R,3891,False,5,1.964569463909663
2025-09-13,23:33:56,5742,122 VERDE,4342,False,21,4.1821339941923075
2025-09-13,23:39:16,7881,120,369(C),False,14,3.5931441834876594
2025-09-13,23:39:16,5742,122 VERDE,4342,False,8,2.289877722805339
2025-09-13,23:44:19,7881,153 N,1214(C),False,3,2.1405822567434667
2025-09-13,23:44:19,7881,120,369(C),False,14,3.592709575049665
2025-09-13,23:44:19,5742,122 VERDE,4342,False,0,0.42145546764270087
2025-09-13,23:49:22,7881,120,369(C),False,14,3.5931441834876594
2025-09-13,23:54:29,7881,120,369(C),False,13,3.5944324385242385
2025-09-13,23:59:37,7881,120,369(C),False,14,3.5931441834876594
2025-09-14,00:04:45,7881,123,363(C),False,16,6.03115250820971
2025-09-14,00:04:45,7881,123,363(C),False,96,6.03115250820971
2025-09-14,00:09:54,7881,123,363(C),False,11,4.050264778416856
2025-09-14,00:09:54,7881,123,363(C),False,91,4.050264778416856
2025-09-14,00:15:02,7881,123,363(C),False,4,2.2699400293085747
2025-09-14,00:15:02,7881,123,363(C),False,84,2.2699400293085747
2025-09-14,00:20:11,7881,153 N,323(C),True,8,3.408066536973043
2025-09-14,00:25:19,7881,153 N,323(C),True,2,1.3048420737253783
2025-09-14,00:25:19,7881,123,363(C),False,77,0.49889021346910206
2025-09-14,00:30:28,7881,120,356(C),False,26,0.18823534393487854
2025-09-14,00:30:28,7881,123,363(C),False,73,1.600091520457878
2025-09-14,00:30:28,5742,122 ROJA,4251,False,20,4.023495237594699
2025-09-14,00:35:31,7881,123,363(C),False,68,2.8123106059236056
2025-09-14,00:35:31,5742,122 ROJA,4251,False,20,4.024427821506182
2025-09-14,00:40:34,7881,123,363(C),False,58,4.250752216506907
2025-09-14,00:40:34,5742,122 ROJA,4251,False,16,3.4432537501590095
2025-09-14,00:45:37,7881,120,356(C),False,11,3.5664790337749777
2025-09-14,00:45:37,7881,123,363(C),False,53,3.090176364262829
2025-09-14,00:45:37,7881,120,356(C),False,99,3.5664790337749777
2025-09-14,00:45:37,5742,122 ROJA,4251,False,11,3.4432537501590095
2025-09-14,00:50:41,7881,120,356(C),False,9,3.4888746031292994
2025-09-14,00:50:41,7881,123,363(C),False,48,1.9506000932292151
2025-09-14,00:50:41,7881,120,356(C),False,97,3.4888746031292994
2025-09-14,00:50:41,5742,122 ROJA,4251,False,6,3.4432537501590095
2025-09-14,00:55:46,7881,120,356(C),False,4,2.3888867017664235
